concession,sample_id,sample_type,lat,lon,utm_zone,utm_easting,utm_northing,grade_g_t,page,source_pdf
amenam,AMPIT043,test_pit,6.415656,-1.016245,30N,719412.0,709577.0,1.11,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT044,test_pit,6.413759,-1.014337,30N,719624.0,709368.0,0.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT045,test_pit,6.416267,-1.015204,30N,719527.0,709645.0,1.41,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT046,test_pit,6.414715,-1.013836,30N,719679.0,709474.0,0.46,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT047,test_pit,6.416175,-1.01261,30N,719814.0,709636.0,0.54,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT048,test_pit,6.413122,-1.013345,30N,719734.0,709298.0,0.9,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT049,test_pit,6.413183,-1.010227,30N,720079.0,709306.0,0.8,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT050,test_pit,6.41434,-1.010304,30N,720070.0,709434.0,0.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT051,test_pit,6.415457,-1.011637,30N,719922.0,709557.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT052,test_pit,6.416554,-1.009934,30N,720110.0,709679.0,0.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT053,test_pit,6.418727,-1.010947,30N,719997.0,709919.0,1.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT054,test_pit,6.419202,-1.012174,30N,719861.0,709971.0,1.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT055,test_pit,6.419658,-1.010699,30N,720024.0,710022.0,0.67,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT056,test_pit,6.420121,-1.009079,30N,720203.0,710074.0,0.9,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
