concession,sample_id,sample_type,grade_g_t,depth_m,page,source_pdf,notes
akim_apapam,KP98,test_pit,0.76,1.2,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP99,test_pit,0.19,1.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP100,test_pit,0.95,1.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP101,test_pit,0.57,1.2,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP102,test_pit,0.46,4.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP103,test_pit,0.48,1.4,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP104,test_pit,0.38,1.5,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP105,test_pit,0.19,0.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP115,test_pit,0.84,5.3,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP116,test_pit,0.75,1.8,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP117,test_pit,0.84,4.4,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP118,test_pit,0.61,2.2,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP119,test_pit,0.4,2.3,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP120,test_pit,0.87,1.65,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP121,test_pit,0.25,2.7,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP122,test_pit,0.19,1.0,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP123,test_pit,0.52,2.6,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP124,test_pit,0.38,1.7,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP125,test_pit,0.65,4.65,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP126,test_pit,0.35,1.8,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP127,test_pit,0.86,4.42,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP128,test_pit,0.26,1.6,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP129,test_pit,0.62,1.6,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP130,test_pit,0.59,2.18,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP131,test_pit,0.8,2.3,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP132,test_pit,0.51,1.2,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP133,test_pit,0.26,3.5,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP134,test_pit,0.19,2.7,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP135,test_pit,0.58,5.1,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP136,test_pit,0.65,2.8,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP137,test_pit,0.56,5.0,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP138,test_pit,0.82,3.9,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP139,test_pit,0.61,2.1,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP140,test_pit,0.75,4.4,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP141,test_pit,0.51,3.1,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP142,test_pit,0.52,4.85,125,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,T1,ALS_bulk_sample,7.79,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
akim_apapam,T2,ALS_bulk_sample,8.21,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
akim_apapam,S1,ALS_bulk_sample,6.9,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
akim_apapam,S2,ALS_bulk_sample,7.89,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
akim_apapam,S3,ALS_bulk_sample,8.7,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
akim_apapam,S4,ALS_bulk_sample,9.03,,1,KM26078748.csv / A4COA_KM26078748_280285-133200318.pdf,ALS Ghana KM26078748 March 2026; ppm=g/t Au
amenam,AMPIT001,test_pit,0.79,7.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT002,test_pit,0.44,2.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT003,test_pit,1.0,2.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT004,test_pit,1.6,7.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT005,test_pit,0.1,8.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT006,test_pit,0.55,7.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT007,test_pit,0.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT008,test_pit,0.53,6.9,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT009,test_pit,0.51,5.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT010,test_pit,0.61,7.8,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
